Method,Average Events (Normal Days),Flash Crash Day Events
CUSUM,2.0408906882591094,29.182051282051283
Isolation Forest,4.779454102828716,4.88974358974359
Local Outlier Factor,4.750812362731867,4.861538461538461
One-Class SVM,33.41866449683787,29.525641025641026
PCA,4.779033367733057,4.88974358974359
Threshold,0.059410970866079216,0.2512820512820513
Volume Imbalance,48.79864518006933,61.36666666666667
Z-Score,3.519992855441772,6.1461538461538465
